N_EXPEDIENT,DISTRICTE,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,LONGITUD, LATITUD
10-2008-0693,SANT MARTI,el Poblenou,C,VIDAL I DE VALENCIANO,1,19,,,,,,,12,1,2.20763342,41.39932466
02-2008-1140,L'EIXAMPLE,la Dreta de l'Eixample,C,ALI BEI,1,29,,,,,,,3,1,2.17856555,41.39200047
02-2008-1141,L'EIXAMPLE,la Dreta de l'Eixample,C,ALI BEI,1,29,,,,,,,2,1,2.17856555,41.39200047
02-2008-1142,L'EIXAMPLE,el Fort Pienc,C,CASP,2,190,,,,,,,6,1,2.18212361,41.39779895
03-2008-0475,SANTS-MONTJUÏC,Sants,C,RIEGO,1,39,,,,,,,BJ,1,2.13832497,41.37703950
03-2008-0476,SANTS-MONTJUÏC,Sants,C,RIEGO,1,39,,,,,,,BJ,2,2.13832497,41.37703950
03-2008-0477,SANTS-MONTJUÏC,Sants,C,RIEGO,1,39,,,,,,,2,1,2.13832497,41.37703950
03-2008-0478,SANTS-MONTJUÏC,Sants,C,RIEGO,1,39,,,,,,,2,2,2.13832497,41.37703950
03-2008-0479,SANTS-MONTJUÏC,Sants,C,RIEGO,1,39,,,,,,,2,3,2.13832497,41.37703950
03-2008-0480,SANTS-MONTJUÏC,Sants,C,RIEGO,1,39,,,,,,,3,1,2.13832497,41.37703950
03-2008-0481,SANTS-MONTJUÏC,Sants,C,RIEGO,1,39,,,,,,,3,2,2.13832497,41.37703950
02-2008-0955,L'EIXAMPLE,el Fort Pienc,C,AUSIAS MARC,1,157,,159,,,,D,AT,2,2.18412206,41.39784974
10-2008-0582,SANT MARTI,el Camp de l'Arpa del Clot,C,ARAGO,1,565,,,,,,,1,1,2.18489446,41.40744147
10-2008-0583,SANT MARTI,el Camp de l'Arpa del Clot,C,ARAGO,1,565,,,,,,,1,2,2.18489446,41.40744147
10-2008-0586,SANT MARTI,el Camp de l'Arpa del Clot,C,ARAGO,1,565,,,,,,,2,1,2.18489446,41.40744147
10-2008-0587,SANT MARTI,el Camp de l'Arpa del Clot,C,ARAGO,1,565,,,,,,,2,2,2.18489446,41.40744147
10-2008-0588,SANT MARTI,el Camp de l'Arpa del Clot,C,ARAGO,1,565,,,,,,,3,1,2.18489446,41.40744147
10-2008-0589,SANT MARTI,el Camp de l'Arpa del Clot,C,ARAGO,1,565,,,,,,,3,2,2.18489446,41.40744147
10-2008-0590,SANT MARTI,el Camp de l'Arpa del Clot,C,ARAGO,1,565,,,,,,,4,1,2.18489446,41.40744147
10-2008-0591,SANT MARTI,el Camp de l'Arpa del Clot,C,ARAGO,1,565,,,,,,,4,2,2.18489446,41.40744147
10-2008-0592,SANT MARTI,el Camp de l'Arpa del Clot,C,ARAGO,1,565,,,,,,,5,1,2.18489446,41.40744147
02-2008-0878,L'EIXAMPLE,la Dreta de l'Eixample,C,GIRONA,1,99,,,,,,,1,1,2.16913144,41.39618827
02-2008-1242,L'EIXAMPLE,la Nova Esquerra de l'Eixample,G.V.,CORTS CATALANES,1,439,,,,,,,6,3,2.15335802,41.37854053
02-2008-0723,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,ENRIC GRANADOS,1,21,,,,,,,6,2,2.16147559,41.38833689
03-2008-0482,SANTS-MONTJUÏC,Sants,C,RIEGO,1,39,,,,,,,3,3,2.13832497,41.37703950
02-2008-0966,L'EIXAMPLE,la Dreta de l'Eixample,RDA,SANT PERE,1,3,,,,,,,5,1,2.17068944,41.38834878
02-2008-0967,L'EIXAMPLE,,RDA,SANT PERE,1,3,,,,,,,4,5,2.17068944,41.38834878
02-2008-0968,L'EIXAMPLE,,RDA,SANT PERE,1,3,,,,,,,4,1,2.17068944,41.38834878
02-2008-0970,L'EIXAMPLE,,RDA,SANT PERE,1,3,,,,,,,3,6,2.17068944,41.38834878
02-2008-0971,L'EIXAMPLE,la Dreta de l'Eixample,RDA,SANT PERE,1,3,,,,,,,3,1,2.17068944,41.38834878
02-2008-0972,L'EIXAMPLE,la Dreta de l'Eixample,RDA,SANT PERE,1,3,,,,,,,2,5,2.17068944,41.38834878
02-2008-0973,L'EIXAMPLE,la Dreta de l'Eixample,RDA,SANT PERE,1,3,,,,,,,2,1,2.17068944,41.38834878
02-2008-0974,L'EIXAMPLE,la Dreta de l'Eixample,RDA,SANT PERE,1,3,,,,,,,2,4,2.17068944,41.38834878
10-2008-0593,SANT MARTI,el Camp de l'Arpa del Clot,C,ARAGO,1,565,,,,,,,5,2,2.18489446,41.40744147
02-2009-0003,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,98,,,,,,,BJ,1,2.15003665,41.38019371
02-2009-0004,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,98,,,,,,,BJ,2,2.15003665,41.38019371
02-2009-0005,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,98,,,,,,,1,1,2.15003665,41.38019371
02-2009-0006,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,2,98,,,,,,,1,2,2.15003665,41.38019371
02-2008-1019,L'EIXAMPLE,la Nova Esquerra de l'Eixample,G.V.,CORTS CATALANES,1,429,,,,,,,4,2,2.15284554,41.37819910
10-2008-0625,SANT MARTI,el Camp de l'Arpa del Clot,C,INDEPENDENCIA,1,287,,,,,,,2,1,2.18286578,41.40803773
10-2008-0626,SANT MARTI,el Camp de l'Arpa del Clot,C,INDEPENDENCIA,1,287,,,,,,,1,1,2.18286578,41.40803773
10-2008-0627,SANT MARTI,el Camp de l'Arpa del Clot,C,INDEPENDENCIA,1,287,,,,,,,3,2,2.18286578,41.40803773
10-2008-0628,SANT MARTI,el Camp de l'Arpa del Clot,C,INDEPENDENCIA,1,287,,,,,,,3,1,2.18286578,41.40803773
10-2008-0629,SANT MARTI,el Camp de l'Arpa del Clot,C,INDEPENDENCIA,1,287,,,,,,,2,2,2.18286578,41.40803773
10-2008-0630,SANT MARTI,el Camp de l'Arpa del Clot,C,INDEPENDENCIA,1,287,,,,,,,BJ,,2.18286578,41.40803773
