N_EXPEDIENT,DISTRICTE,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,LONGITUD, LATITUD
03-2013-0554,SANTS-MONTJUÏC,el Poble Sec,C,NOU DE LA RAMBLA,2,154,,,,,,,1,3,2.16710688,41.37227744
03-2013-0555,SANTS-MONTJUÏC,el Poble Sec,C,NOU DE LA RAMBLA,2,154,,,,,,,1,4,2.16710688,41.37227744
03-2013-0556,SANTS-MONTJUÏC,el Poble Sec,C,NOU DE LA RAMBLA,2,154,,,,,,,2,1,2.16710688,41.37227744
03-2013-0557,SANTS-MONTJUÏC,el Poble Sec,C,NOU DE LA RAMBLA,2,154,,,,,,,2,3,2.16710688,41.37227744
03-2013-0559,SANTS-MONTJUÏC,el Poble Sec,C,NOU DE LA RAMBLA,2,154,,,,,,,2,4,2.16710688,41.37227744
03-2013-0560,SANTS-MONTJUÏC,el Poble Sec,C,NOU DE LA RAMBLA,2,154,,,,,,,3,1,2.16710688,41.37227744
06-2013-0452,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,GRASSOT,1,17,,,,,,,2,1,2.16840501,41.40282591
01-2013-0407,CIUTAT VELLA,la Barceloneta,C,SANT MIQUEL,2,104,,106,,,,,3,1,2.18942508,41.37681291
02-2013-0966,L'EIXAMPLE,la Dreta de l'Eixample,C,VALENCIA,2,248,,,,,,,4,2,2.16139158,41.39111205
02-2013-1765,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,ARAGO,1,207,,,,,,,PR,2,2.15977987,41.38853401
06-2013-0189,GRACIA,la Vila de Gràcia,C,PEREZ GALDOS,2,32,,,,,,,PR,2,2.15144545,41.40619222
02-2013-0572,L'EIXAMPLE,la Dreta de l'Eixample,C,CORSEGA,2,394,,,,,,,AT,4,2.16379276,41.39975347
02-2013-0573,L'EIXAMPLE,la Dreta de l'Eixample,C,CORSEGA,2,394,,,,,,,2,1,2.16379276,41.39975347
02-2013-0747,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,ARIBAU,2,56,,,,,,,5,1,2.15943734,41.38845231
02-2013-0946,L'EIXAMPLE,la Dreta de l'Eixample,C,FONTANELLA,1,11,,,,,,,1,2B,2.17212792,41.38791380
01-2013-0663,CIUTAT VELLA,Sant Pere - Santa Caterina i la Ribera,C,CANVIS VELLS,1,7,,,,,,,1,,2.18216696,41.38300633
02-2013-1785,L'EIXAMPLE,la Dreta de l'Eixample,C,DIPUTACIO,1,307,,,,,,,4,1,2.17016764,41.39288628
10-2013-0208,SANT MARTI,el Poblenou,PTGE,PIQUER,2,2,,6,,,,,BJ,1,2.20697874,41.40264635
02-2013-0488,L'EIXAMPLE,la Sagrada Família,C,SARDENYA,1,319,,,,,,,3,1,2.17248108,41.40389450
02-2013-0518,L'EIXAMPLE,la Sagrada Família,C,SARDENYA,2,342,,,,,,,1,4,2.17187375,41.40462888
02-2013-1730,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ROCAFORT,2,102,,,,,,,4,2,2.15226305,41.38021891
02-2013-1803,L'EIXAMPLE,la Sagrada Família,C,SARDENYA,2,366,,,,,,,1,1,2.17047314,41.40569462
03-2013-0097,SANTS-MONTJUÏC,Hostafrancs,C,CONSELL DE CENT,1,49,B,,,,,,3,1,2.14573938,41.37666568
10-2013-0340,SANT MARTI,el Clot,C,MALLORCA,2,662,,,,,,E,3,2,2.18985352,41.41418338
02-2013-0735,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,PTGE,VALERI SERRA,1,19,,,,,,,EN,1,2.15958016,41.38556874
02-2013-0736,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,PTGE,VALERI SERRA,1,19,,,,,,,1,1,2.15958016,41.38556874
01-2013-0147,CIUTAT VELLA,el Raval,C,JOAQUIN COSTA,2,28,,,,,,,EN,1,2.16628771,41.38213529
02-2013-0429,L'EIXAMPLE,la Dreta de l'Eixample,C,NAPOLS,1,229,,,,,,,2,3,2.17262437,41.40036877
02-2013-0632,L'EIXAMPLE,la Sagrada Família,C,VALENCIA,1,437,,,,,,,5,,2.17622458,41.40253375
03-2013-0227,SANTS-MONTJUÏC,Sants,C,PUIGGARI,1,15,,17,,,,,4,3,2.13834804,41.38016807
02-2013-0667,L'EIXAMPLE,la Dreta de l'Eixample,RDA,UNIVERSITAT,1,35,,,,,,,4,2,2.16764052,41.38720437
02-2013-0674,L'EIXAMPLE,la Dreta de l'Eixample,C,BRUC,2,174,,,,,,,SA,,2.16337999,41.39909262
02-2013-0675,L'EIXAMPLE,la Sagrada Família,C,ENAMORATS,1,27,,,,,,,2,1,2.18029899,41.40292084
05-2013-0241,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,VIA,AUGUSTA,1,17,,19,,,,,5,3,2.15456556,41.39692846
01-2013-0289,CIUTAT VELLA,el Raval,C,SANTA MONICA,2,2,,,,,,,1,3,2.17525843,41.37740361
02-2013-0849,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,MUNTANER,1,83,,,,,,,2,3,2.15749169,41.38793684
02-2013-0850,L'EIXAMPLE,la Dreta de l'Eixample,C,ARAGO,1,231,B,,,,,,3,1,2.16213896,41.39030543
02-2013-0851,L'EIXAMPLE,el Fort Pienc,C,MARINA,2,142,,,,,,,2,1,2.18354156,41.39769395
02-2013-0852,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,COMTE BORRELL,2,178,B,,,,,,4,4,2.15368886,41.38426381
02-2013-0565,L'EIXAMPLE,la Dreta de l'Eixample,C,PROVENÇA,2,360,,,,,,,1,2A,2.16803491,41.39953238
02-2013-0567,L'EIXAMPLE,la Dreta de l'Eixample,C,PROVENÇA,2,360,,,,,,,1,2B,2.16803491,41.39953238
02-2013-0568,L'EIXAMPLE,la Dreta de l'Eixample,C,PROVENÇA,2,360,,,,,,,2,2A,2.16803491,41.39953238
02-2013-0569,L'EIXAMPLE,la Dreta de l'Eixample,C,PROVENÇA,2,360,,,,,,,2,2B,2.16803491,41.39953238
01-2013-0292,CIUTAT VELLA,el Raval,C,MONTSERRAT,2,8,,,,,,,EN,2,2.17489764,41.37717679
02-2013-0859,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ENTENÇA,1,95,B,,,,,,1,1,2.14984766,41.38006032
02-2013-0928,L'EIXAMPLE,Sant Antoni,C,COMTE BORRELL,2,40,,,,,,,1,1,2.16297619,41.37723839
06-2013-0220,GRACIA,la Vila de Gràcia,C,TORDERA,1,37,,,,,,,1,1,2.16152826,41.40168833
01-2013-0358,CIUTAT VELLA,la Barceloneta,C,BALBOA,2,16,,,,,,,2,1,2.18864592,41.38219493
06-2013-0274,GRACIA,la Vila de Gràcia,C,MONTMANY,1,25,,,,,,,1,4,2.15988601,41.40442051
02-2013-0454,L'EIXAMPLE,la Sagrada Família,AV,GAUDI,2,8,,,,,,,2,2,2.17458243,41.40515544
02-2013-0455,L'EIXAMPLE,la Sagrada Família,AV,GAUDI,2,8,,,,,,,PR,1,2.17458243,41.40515544
02-2013-0456,L'EIXAMPLE,la Sagrada Família,AV,GAUDI,2,8,,,,,,,EN,1,2.17458243,41.40515544
02-2013-0457,L'EIXAMPLE,la Sagrada Família,AV,GAUDI,2,8,,,,,,,EN,2B,2.17458243,41.40515544
02-2013-0458,L'EIXAMPLE,la Sagrada Família,AV,GAUDI,2,8,,,,,,,4,1B,2.17458243,41.40515544
03-2013-0114,SANTS-MONTJUÏC,Hostafrancs,C,MOIANES,2,50,B,,,,,,4,2,2.14258686,41.37337087
10-2013-0290,SANT MARTI,la Vila Olímpica del Poblenou,C,DOCTOR TRUETA,1,45,,47,,,,,1,1,2.19417174,41.39180459
10-2013-0282,SANT MARTI,el Clot,AV,MERIDIANA,1,113,,,,,,,2,,2.18656678,41.40796540
06-2013-0253,GRACIA,la Vila de Gràcia,C,PROVIDENCIA,2,46,,,,,,,BJ,1,2.15700164,41.40661477
05-2013-0313,SARRIA-SANT GERVASI,el Putxet i el Farró,C,BALLESTER,1,21,,23,,,,,2,3,2.14509079,41.40627532
05-2013-0315,SARRIA-SANT GERVASI,el Putxet i el Farró,C,BALLESTER,1,21,,23,,,,,3,2,2.14509079,41.40627532
02-2013-0731,L'EIXAMPLE,la Dreta de l'Eixample,C,BALMES,1,9,,,,,,,5,3,2.16586450,41.38672895
02-2013-0579,L'EIXAMPLE,el Fort Pienc,C,MARINA,2,212,,,,,,,3,1,2.17925685,41.40104486
02-2013-0580,L'EIXAMPLE,el Fort Pienc,C,MARINA,2,212,,,,,,,9,2,2.17925685,41.40104486
02-2013-0581,L'EIXAMPLE,el Fort Pienc,C,MARINA,2,212,,,,,,,7,3,2.17925685,41.40104486
02-2013-0582,L'EIXAMPLE,el Fort Pienc,C,MARINA,2,212,,,,,,,5,2,2.17925685,41.40104486
06-2013-0269,GRACIA,la Vila de Gràcia,C,PROGRES,1,21,,23,,,,,BJ,1,2.16011136,41.40013616
03-2013-0154,SANTS-MONTJUÏC,Sants - Badal,C,SANTS,1,387,,,,,,,7,1,2.12449764,41.37554000
03-2013-0155,SANTS-MONTJUÏC,Sants - Badal,C,SANTS,1,387,,,,,,,7,2,2.12449764,41.37554000
03-2013-0156,SANTS-MONTJUÏC,Sants - Badal,C,SANTS,1,387,,,,,,,7,3,2.12449764,41.37554000
03-2013-0157,SANTS-MONTJUÏC,Sants - Badal,C,SANTS,1,387,,,,,,,7,4,2.12449764,41.37554000
03-2013-0158,SANTS-MONTJUÏC,Sants - Badal,C,SANTS,1,387,,,,,,,7,5,2.12449764,41.37554000
03-2013-0159,SANTS-MONTJUÏC,Sants - Badal,C,SANTS,1,387,,,,,,,7,6,2.12449764,41.37554000
03-2013-0160,SANTS-MONTJUÏC,Sants - Badal,C,SANTS,1,387,,,,,,,7,7,2.12449764,41.37554000
03-2013-0162,SANTS-MONTJUÏC,Sants - Badal,C,SANTS,1,387,,,,,,,8,1,2.12449764,41.37554000
03-2013-0163,SANTS-MONTJUÏC,Sants - Badal,C,SANTS,1,387,,,,,,,8,2,2.12449764,41.37554000
03-2013-0164,SANTS-MONTJUÏC,Sants - Badal,C,SANTS,1,387,,,,,,,8,3,2.12449764,41.37554000
03-2013-0165,SANTS-MONTJUÏC,Sants - Badal,C,SANTS,1,387,,,,,,,8,4,2.12449764,41.37554000
05-2013-0171,SARRIA-SANT GERVASI,el Putxet i el Farró,RDA,GENERAL MITRE,2,238,,,,,,,2,3,2.14872649,41.40580292
05-2013-0172,SARRIA-SANT GERVASI,el Putxet i el Farró,RDA,GENERAL MITRE,2,238,,,,,,,3,1,2.14872649,41.40580292
05-2013-0197,SARRIA-SANT GERVASI,Sant Gervasi - la Bonanova,RDA,GENERAL MITRE,1,93,,,,,,,EN,1,2.13427334,41.39969374
03-2013-0166,SANTS-MONTJUÏC,Sants - Badal,C,SANTS,1,387,,,,,,,7,8,2.12449764,41.37554000
02-2013-0623,L'EIXAMPLE,la Dreta de l'Eixample,C,ARAGO,1,347,,,,,,,6,2,2.17126858,41.39717853
02-2013-0467,L'EIXAMPLE,la Dreta de l'Eixample,C,BALMES,2,8,,,,,,,3,2,2.16696235,41.38619984
02-2013-0440,L'EIXAMPLE,la Sagrada Família,C,PROVENÇA,1,483,,,,,,,6,4,2.17684016,41.40639628
09-2013-0110,SANT ANDREU,la Sagrera,C,MONLAU,1,1,,,,,,,1,,2.19045668,41.42294891
09-2013-0111,SANT ANDREU,la Sagrera,C,MONLAU,1,1,,,,,,,BJ,,2.19045668,41.42294891
09-2013-0112,SANT ANDREU,la Sagrera,C,MONLAU,1,1,,,,,,,2,,2.19045668,41.42294891
09-2013-0113,SANT ANDREU,la Sagrera,C,MONLAU,1,1,,,,,,,3,,2.19045668,41.42294891
09-2013-0115,SANT ANDREU,la Sagrera,C,MONLAU,1,1,,,,,,,4,,2.19045668,41.42294891
02-2013-0404,L'EIXAMPLE,la Dreta de l'Eixample,C,GIRONA,1,111,,,,,,,1,1A,2.16823320,41.39686678
02-2013-0405,L'EIXAMPLE,la Dreta de l'Eixample,C,GIRONA,1,111,,,,,,,1,1B,2.16823320,41.39686678
01-2013-0311,CIUTAT VELLA,el Barri Gòtic,C,COLOM,1,1,,,,,,,2,1,2.17481671,41.37982456
02-2013-0620,L'EIXAMPLE,la Sagrada Família,PL,SAGRADA FAMILIA,1,17,,,,,,,2,1,2.17417423,41.40241657
02-2013-0768,L'EIXAMPLE,la Dreta de l'Eixample,C,BRUC,1,55,,,,,,,1,2,2.17107107,41.39301723
02-2013-0695,L'EIXAMPLE,la Sagrada Família,C,VALENCIA,1,505,,,,,,,4,2,2.18013337,41.40545799
02-2013-0696,L'EIXAMPLE,el Fort Pienc,G.V.,CORTS CATALANES,1,721,,,,,,,6,D,2.17938188,41.39809070
02-2013-0757,L'EIXAMPLE,la Dreta de l'Eixample,RBLA,CATALUNYA,2,42,,,,,,,PR,1A,2.16496340,41.39016883
02-2013-0758,L'EIXAMPLE,la Dreta de l'Eixample,RBLA,CATALUNYA,2,42,,,,,,,PR,1B,2.16496340,41.39016883
02-2013-0759,L'EIXAMPLE,la Dreta de l'Eixample,RBLA,CATALUNYA,2,42,,,,,,,PR,2A,2.16496340,41.39016883
02-2013-0760,L'EIXAMPLE,la Dreta de l'Eixample,RBLA,CATALUNYA,2,42,,,,,,,PR,2B,2.16496340,41.39016883
02-2013-0761,L'EIXAMPLE,la Dreta de l'Eixample,RBLA,CATALUNYA,2,42,,,,,,,1,1A,2.16496340,41.39016883
02-2013-0762,L'EIXAMPLE,la Dreta de l'Eixample,RBLA,CATALUNYA,2,42,,,,,,,1,1B,2.16496340,41.39016883
02-2013-0763,L'EIXAMPLE,la Dreta de l'Eixample,RBLA,CATALUNYA,2,42,,,,,,,1,2A,2.16496340,41.39016883
02-2013-0671,L'EIXAMPLE,la Dreta de l'Eixample,C,ARAGO,1,249,,,,,,,5,3,2.16290686,41.39087804
03-2014-0132,SANTS-MONTJUÏC,el Poble Sec,C,VALLHONRAT,2,18,,,,,,,2,1,2.15699484,41.37418573
02-2013-0600,L'EIXAMPLE,Sant Antoni,C,ENTENÇA,1,33,,,,,,,1,2,2.15384110,41.37704280
02-2013-0602,L'EIXAMPLE,Sant Antoni,C,ENTENÇA,1,33,,,,,,,3,1,2.15384110,41.37704280
05-2013-0167,SARRIA-SANT GERVASI,el Putxet i el Farró,RDA,GENERAL MITRE,2,238,,,,,,,2,2,2.14872649,41.40580292
03-2013-0184,SANTS-MONTJUÏC,el Poble Sec,C,RADAS,2,38,,40,,,,,AT,2,2.16038892,41.37234119
02-2013-0764,L'EIXAMPLE,la Dreta de l'Eixample,RBLA,CATALUNYA,2,42,,,,,,,1,2B,2.16496340,41.39016883
02-2013-0837,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,PROVENÇA,2,78,,,,,,,1,2,2.14753059,41.38407727
02-2013-0476,L'EIXAMPLE,la Dreta de l'Eixample,C,DIPUTACIO,1,291,,,,,,,PR,2,2.16895678,41.39197835
02-2013-0477,L'EIXAMPLE,la Dreta de l'Eixample,C,DIPUTACIO,1,291,,,,,,,1,2,2.16895678,41.39197835
02-2013-0478,L'EIXAMPLE,la Dreta de l'Eixample,C,DIPUTACIO,1,291,,,,,,,1,3,2.16895678,41.39197835
02-2013-0479,L'EIXAMPLE,la Dreta de l'Eixample,C,DIPUTACIO,1,291,,,,,,,2,2,2.16895678,41.39197835
02-2013-0481,L'EIXAMPLE,la Dreta de l'Eixample,C,DIPUTACIO,1,291,,,,,,,2,3,2.16895678,41.39197835
02-2013-0482,L'EIXAMPLE,la Dreta de l'Eixample,C,DIPUTACIO,1,291,,,,,,,3,3,2.16895678,41.39197835
02-2013-0484,L'EIXAMPLE,la Dreta de l'Eixample,C,DIPUTACIO,1,291,,,,,,,4,2,2.16895678,41.39197835
03-2013-0095,SANTS-MONTJUÏC,el Poble Sec,C,CREU DELS MOLERS,2,22,,,,,,,2,1,2.16151716,41.37347785
02-2013-0833,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,TARRAGONA,2,106,,,,,,,6,1,2.14410154,41.37956698
02-2013-0496,L'EIXAMPLE,la Dreta de l'Eixample,C,CASP,1,41,,,,,,,3,1A,2.17389965,41.39189731
02-2013-0497,L'EIXAMPLE,la Dreta de l'Eixample,C,CASP,1,41,,,,,,,4,1,2.17389965,41.39189731
03-2013-0274,SANTS-MONTJUÏC,el Poble Sec,C,SALVA,1,59,,,,,,,BJ,,2.16531594,41.37228502
03-2013-0275,SANTS-MONTJUÏC,el Poble Sec,C,CREU DELS MOLERS,1,57,,,,,,,2,2,2.16136973,41.37268446
02-2014-0512,L'EIXAMPLE,la Dreta de l'Eixample,C,PAU CLARIS,1,87,,,,,,,PR,4,2.17050614,41.39002304
03-2013-0093,SANTS-MONTJUÏC,Hostafrancs,C,CONSELL DE CENT,1,49,B,,,,,,5,1,2.14573938,41.37666568
03-2013-0094,SANTS-MONTJUÏC,Hostafrancs,C,CONSELL DE CENT,1,49,B,,,,,,5,2,2.14573938,41.37666568
02-2013-0480,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ROCAFORT,2,124,,,,,,,PR,4,2.15107452,41.38111320
02-2013-0483,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ROCAFORT,2,124,,,,,,,1,4,2.15107452,41.38111320
02-2013-0485,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,ROCAFORT,2,124,,,,,,,4,3,2.15107452,41.38111320
06-2013-0202,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,CA L'ALEGRE DE DALT,1,79,,,,,,,BJ,1,2.15956549,41.41072555
02-2013-0797,L'EIXAMPLE,la Dreta de l'Eixample,RBLA,CATALUNYA,2,42,,,,,,,3,2B,2.16496340,41.39016883
02-2013-0948,L'EIXAMPLE,la Sagrada Família,C,MARINA,2,240,,,,,,,1,4,2.17715284,41.40256275
10-2013-0226,SANT MARTI,el Camp de l'Arpa del Clot,C,XIFRE,1,11,,,,,,,2,2,2.18375280,41.40859851
03-2013-0231,SANTS-MONTJUÏC,Sants,AV,JOSEP TARRADELLAS,1,3,,,,,,,3,2,2.14204386,41.38154956
10-2013-0292,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,PG,GARCIA FARIA,1,73,,,,,,,3,7,2.21532312,41.40496996
06-2013-0297,GRACIA,la Vila de Gràcia,C,SANTA ROSA,1,19,,,,,,,2,1,2.15369784,41.40347296
02-2013-0599,L'EIXAMPLE,Sant Antoni,RDA,SANT PAU,1,3,,,,,,,2,1,2.16720168,41.37538584
03-2013-0229,SANTS-MONTJUÏC,el Poble Sec,C,ROSER,1,61,,,,,,,AT,,2.16616839,41.37246283
01-2013-0268,CIUTAT VELLA,el Raval,C,TALLERS,2,28,,,,,,,PR,,2.16838719,41.38486399
01-2013-0269,CIUTAT VELLA,el Raval,C,TALLERS,2,28,,,,,,,3,2,2.16838719,41.38486399
01-2013-0270,CIUTAT VELLA,el Raval,C,TALLERS,1,61,,,,,,,EN,1A,2.16745005,41.38483639
01-2013-0271,CIUTAT VELLA,el Raval,C,NOU DE LA RAMBLA,2,40,,,,,,,3,,2.17294664,41.37791118
06-2013-0173,GRACIA,la Vila de Gràcia,C,ESCORIAL,1,11,,13,,,,,PR,2,2.16212556,41.40627339
02-2013-0540,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,PROVENÇA,1,71,,,,,,,EN,3,2.14859863,41.38516376
03-2013-0232,SANTS-MONTJUÏC,Sants - Badal,C,PORTBOU,1,27,,,,,,,AT,2,2.12664650,41.37662677
05-2013-0258,SARRIA-SANT GERVASI,Sant Gervasi - la Bonanova,PG,BONANOVA,2,54,,,,,,,1,C,2.12758689,41.40348503
02-2013-0825,L'EIXAMPLE,la Dreta de l'Eixample,C,ARAGO,2,288,,,,,,,4,1,2.16687667,41.39346808
02-2013-0865,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,G.V.,CORTS CATALANES,1,539,,,,,,,1,1,2.15965722,41.38330620
01-2013-0223,CIUTAT VELLA,el Raval,C,GUARDIA,2,8,,,,,,,PR,2,2.17376102,41.37791349
01-2013-0224,CIUTAT VELLA,el Raval,C,GUARDIA,2,8,,,,,,,PR,1,2.17376102,41.37791349
01-2013-0225,CIUTAT VELLA,el Raval,C,GUARDIA,2,8,,,,,,,3,1,2.17376102,41.37791349
02-2013-0688,L'EIXAMPLE,la Dreta de l'Eixample,G.V.,CORTS CATALANES,2,598,,,,,,,2,,2.16502980,41.38665902
06-2013-0273,GRACIA,la Vila de Gràcia,C,ESCORIAL,1,11,,,,,,,3,2,2.16212556,41.40627339
10-2013-0378,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,PG,TAULAT,1,223,,,,,,A,5,1,2.21043171,41.40344702
02-2013-0561,L'EIXAMPLE,la Dreta de l'Eixample,G.V.,CORTS CATALANES,2,634,,,,,,,4,2,2.16898108,41.38961875
02-2013-0465,L'EIXAMPLE,la Sagrada Família,C,VALENCIA,2,506,,,,,,,3,2,2.17978098,41.40492020
03-2013-0263,SANTS-MONTJUÏC,el Poble Sec,C,CABANES,2,54,,,,,,,3,,2.16935162,41.37198690
01-2013-0156,CIUTAT VELLA,la Barceloneta,C,SANTA LLUISA DE MARILLAC,2,14,,,,,,,2,4,2.19140513,41.37989041
06-2013-0165,GRACIA,la Vila de Gràcia,C,MOZART,2,20,,,,,,,1,5,2.15815399,41.39948775
01-2013-0217,CIUTAT VELLA,Sant Pere - Santa Caterina i la Ribera,C,CORDERS,1,1,,,,,,,2,,2.17939830,41.38530443
01-2013-0218,CIUTAT VELLA,Sant Pere - Santa Caterina i la Ribera,C,CORDERS,1,1,,,,,,,1,,2.17939830,41.38530443
01-2013-0219,CIUTAT VELLA,Sant Pere - Santa Caterina i la Ribera,C,DAMES,1,1,,,,,,,3,,2.18287626,41.38376392
09-2013-0135,SANT ANDREU,Sant Andreu,C,SANTA MARTA,2,10,,,,,,,BJ,,2.19063122,41.43673942
02-2013-0738,L'EIXAMPLE,la Sagrada Família,C,VALENCIA,1,441,,,,,,,2,2,2.17636727,41.40264080
06-2013-0249,GRACIA,el Camp d'en Grassot i Gràcia Nova,C,CA L'ALEGRE DE DALT,1,79,,,,,,,BJ,5,2.15956549,41.41072555
05-2013-0220,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,CALVET,1,17,,,,,,,8,2,2.14407759,41.39411612
05-2013-0221,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,CALVET,1,17,,,,,,,8,1,2.14407759,41.39411612
05-2013-0222,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,CALVET,1,17,,,,,,,8,3,2.14407759,41.39411612
02-2013-0909,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,ARIBAU,1,47,,,,,,,4,2,2.15980055,41.38790330
09-2013-0154,SANT ANDREU,la Sagrera,C,FELIP II,2,128,,130,,,,,1,1,2.18454996,41.42247634
09-2013-0155,SANT ANDREU,la Sagrera,C,FELIP II,2,128,,130,,,,,4,2,2.18454996,41.42247634
02-2013-0799,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,CORSEGA,1,211,,,,,,,3,1,2.15201464,41.39114476
03-2013-0308,SANTS-MONTJUÏC,Sants - Badal,RIER,BLANCA,1,119,,,,,,,1,,2.12728574,41.37176717
03-2013-0309,SANTS-MONTJUÏC,Sants - Badal,RIER,BLANCA,1,119,,,,,,,2,,2.12728574,41.37176717
03-2013-0310,SANTS-MONTJUÏC,Sants - Badal,RIER,BLANCA,1,119,,,,,,,3,,2.12728574,41.37176717
03-2013-0311,SANTS-MONTJUÏC,Sants - Badal,RIER,BLANCA,1,119,,,,,,,4,,2.12728574,41.37176717
05-2013-0296,SARRIA-SANT GERVASI,Sant Gervasi - la Bonanova,C,TEODORA LAMADRID,2,52,,60,,,,G,AT,,2.13477494,41.40804737
05-2013-0300,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,BALMES,2,246,,,,,,,4,1,2.15016064,41.39957703
05-2013-0301,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,ARIBAU,2,304,,,,,,,5,1,2.14630725,41.39885686
10-2013-0217,SANT MARTI,el Poblenou,C,RAMON TURRO,2,264,,,,,,,1,1,2.20699851,41.40282422
02-2013-0589,L'EIXAMPLE,la Dreta de l'Eixample,C,CONSELL DE CENT,1,343,,,,,,,3,2A,2.16500413,41.39070739
02-2013-0590,L'EIXAMPLE,la Dreta de l'Eixample,C,CONSELL DE CENT,1,343,,,,,,,3,2B,2.16500413,41.39070739
02-2013-0661,L'EIXAMPLE,la Dreta de l'Eixample,C,VALENCIA,2,284,,,,,,,1,2B,2.16473778,41.39362952
02-2013-0662,L'EIXAMPLE,la Dreta de l'Eixample,C,VALENCIA,2,284,,,,,,,1,1A,2.16473778,41.39362952
02-2013-0663,L'EIXAMPLE,la Dreta de l'Eixample,C,VALENCIA,2,284,,,,,,,1,2A,2.16473778,41.39362952
02-2013-0664,L'EIXAMPLE,la Dreta de l'Eixample,C,VALENCIA,2,284,,,,,,,3,1B,2.16473778,41.39362952
02-2013-0665,L'EIXAMPLE,la Dreta de l'Eixample,C,VALENCIA,2,284,,,,,,,3,1A,2.16473778,41.39362952
02-2013-0848,L'EIXAMPLE,la Dreta de l'Eixample,C,VALENCIA,1,317,,319,,,,,1,3,2.16821323,41.39652520
03-2013-0209,SANTS-MONTJUÏC,Sants,C,VIOLANT HONGRIA REINA ARAGO,2,60,,62,,,,,8,2,2.12985623,41.37854373
03-2013-0210,SANTS-MONTJUÏC,el Poble Sec,C,ELKANO,2,54,,,,,,,4,1,2.16227578,41.37353338
10-2013-0194,SANT MARTI,el Poblenou,C,JONCAR,1,7,,11,,,,,2,4,2.20329387,41.40029762
09-2013-0163,SANT ANDREU,Navas,C,ESPRONCEDA,1,395,,,,,,,BJ,,2.18517564,41.41985439
02-2013-0550,L'EIXAMPLE,la Dreta de l'Eixample,C,CASP,1,41,,,,,,,2,1A,2.17389965,41.39189731
02-2013-0551,L'EIXAMPLE,la Dreta de l'Eixample,C,CASP,1,41,,,,,,,1,1A,2.17389965,41.39189731
01-2013-0184,CIUTAT VELLA,Sant Pere - Santa Caterina i la Ribera,VIA,LAIETANA,2,54,,,,,,,AT,1,2.17467178,41.38727081
06-2013-0244,GRACIA,la Vila de Gràcia,C,IGUALADA,1,19,,,,,,,EN,3,2.16286644,41.40170706
04-2013-0141,LES CORTS,les Corts,C,BERLIN,1,37,,,,,,,3,3,2.13798652,41.38287996
04-2013-0142,LES CORTS,les Corts,TRAV,CORTS,1,293,,,,,,,1,2,2.13491202,41.38685777
06-2013-0263,GRACIA,la Vila de Gràcia,C,TORRENT DE L'OLLA,1,111,,,,,,,3,2,2.15677192,41.40239119
03-2013-0290,SANTS-MONTJUÏC,el Poble Sec,AV,PARAL.LEL,1,99,,,,,,,2,3,2.16342162,41.37479753
05-2013-0218,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,LAFORJA,1,101,,,,,,,AT,1,2.14378739,41.39546580
02-2013-0820,L'EIXAMPLE,la Nova Esquerra de l'Eixample,C,COMTE D'URGELL,1,139,,,,,,,5,1,2.15244569,41.38655486
02-2013-0847,L'EIXAMPLE,la Dreta de l'Eixample,C,MALLORCA,1,277,,,,,,,4,4,2.16370963,41.39484208
02-2013-0916,L'EIXAMPLE,la Dreta de l'Eixample,AV,DIAGONAL,1,319,A,,,,,,6,2,2.17112328,41.39918791
02-2013-0922,L'EIXAMPLE,el Fort Pienc,C,ROGER DE FLOR,1,89,,,,,,,2,1,2.17833717,41.39434526
